Manual,Qwen,Similarity Score,
The woman eats a cream cake and thoroughly enjoys the sweetness.,A deep sense of pleasure and contentment arises from fully savoring the moment accompanied by playful spontaneity and nostalgic warmth with a subtle undercurrent of lighthearted embarrassment,9,
"The girl has spiders on her body and face; she is extremely scared, worried they might be poisonous, and afraid to move for fear of provoking them.",Intense fear and distress dominate the experience with overwhelming aversion and panic driven by the perceived threat escalating into a profound sense of vulnerability and internal turmoil while grappling with deep-seated phobia and the struggle to maintain composure amidst escalating emotional and physical reactions,9,
"In the cinema, others are watching the movie while a loving couple kisses; the two of them feel very happy.",Feelings of deep love and passion intertwine with vulnerability and self-consciousness as the moment demands trust and emotional exposure while the physical connection brings warmth and a sense of profound closeness,8,
"The woman prays devoutly, hoping the gods will manifest and help fulfill her wishes.",Deep contemplation intertwined with quiet sorrow and fragile serenity reveals a bittersweet inner world shaped by past experiences and delicate emotional awareness,6,
"The child sits at the dining table with a grimacing face, clearly not enjoying the food.",A mix of discomfort and curiosity arises as the senses process a new and unfamiliar taste and texture with a focus on immediate sensory input and exploration,8,
"The man holds a glass of water in his left hand and covers his forehead with his right hand, with pills beside the cup; he feels deep pain and despair.",Overwhelmed by internal conflict seeking relief while fearing the consequences of the choices made in a state of emotional exhaustion and uncertainty,9,
"The woman swims in the water with her clothes on, having just escaped danger, and her fear has not yet subsided.",Overwhelmed by a sudden and unexpected crisis feeling as though drowning in emotion eyes wide with fear and shock heart racing with disbelief trapped in a moment of intense internal struggle confronting deep fears and insecurities with no escape from the weight of it all,9,
"The woman holds a lottery ticket in her left hand and covers her forehead with her right hand, feeling very regretful that she did not win.",Frustration and concern dominate with a deep mental struggle against a pressing problem requiring intense focus and resolve while maintaining determination to find a solution despite the emotional strain,7,
The woman pulls money out of a large jelly with her mouth and finds it amusing.,A deep sense of curiosity drives a focused determination to challenge norms and question value while embracing liberation through defiance and experimentation finding satisfaction in the act,8,
"The person in the middle makes progress at work and stands up joyfully with both hands raised, while the people on the sides clap to share his happiness.",A surge of triumph and exhilaration floods through with a release of pent-up energy and excitement marking a significant achievement after prolonged effort followed by deep relief and profound satisfaction intertwined with a sense of accomplishment and elation,10,
"A group of good friends are happily taking selfies on a boat, enjoying this joyful moment together.",Joy and excitement are dominant with a strong undercurrent of pride and satisfaction accompanied by a deep sense of connection and appreciation for the moment and surroundings,9,
"The woman stands in the kitchen holding a fruit knife with a fierce expression and wide eyes, emotionally agitated.",Determination fuels focus while subtle tension reveals underlying frustration yet persistence remains unwavering in the face of challenge,5,
"Facing his ruined book, the man covers his face with his hands, full of regret.",Overwhelmed by an internal storm of grief and regret the mind is consumed by painful reflection and the weight of unresolved emotions seeking solace in solitude while grappling with the need to confront a painful reality,10,
The girl likes the small bird on her shoulder and happily interacts with it.,A deep sense of joy and affection fills the moment accompanied by feelings of trust and pride in the bond shared and a profound appreciation for the quiet companionship and emotional connection present,8,
The girl loves snow and happily takes selfies in the freezing winter while wearing a down jacket and a warm hat.,A deep sense of joy and contentment fills the moment as the individual finds peace in the beauty of the surroundings and takes pleasure in preserving this serene experience,10,
"The girl wears sportswear and happily participates in basketball; she enjoys this physical activity, which brings her joy and exercise.",A deep sense of joy and contentment fills the moment as the individual is fully immersed in the pleasure of physical activity and the simple happiness of being present in a bright and uplifting environment,9,
"The little boy lies on the ground holding a remote control, happily playing with a remote-controlled car.",Pure joy and excitement radiate through unbridled happiness and intense focus on the immediate pleasure of control and movement creating a carefree and deeply satisfying emotional state,8,
"The elderly man raises a wine glass in his left hand with a joyful expression, ready to enjoy the delicious wine.",A deep sense of joy and contentment fills the moment with a feeling of peaceful satisfaction and effortless happiness derived from simple pleasures and a tranquil state of mind,8,
"The man holds an apple in his left hand and proudly shows the intact peel he has just cut with his right hand, feeling pleased with himself.",A deep sense of joy and satisfaction is evident through a playful and creative mindset finding pleasure in a simple task accompanied by pride and a desire to share the moment with others,10,
"The woman loves animals and happily interacts with a giraffe, delighted to touch its tongue.",A deep sense of joy and contentment arises from a genuine connection with nature evoking wonder and fulfillment through a meaningful interaction with a majestic creature in a serene outdoor setting,10,
The man listens to music with great joy; he is very happy because he hears a song he likes.,A deep sense of joy and contentment is present with a feeling of being fully engaged and entertained by something enjoyable leading to a state of comfort and ease,9,
The woman holds a trophy in her hands and is very happy because she has received an honor.,A deep sense of joy and pride radiates from within accompanied by a profound feeling of accomplishment and contentment that fills every moment of this emotional high,10,
"The boy holds a gift, surrounded by many other gifts, and feels very happy.",A surge of joy and excitement fills the moment with anticipation and delight as the mind focuses on the unknown gift and the thrill of what lies within,9,
The elderly woman is celebrating her birthday and looks at the gifts with a smile.,A deep sense of joy and contentment fills the moment with anticipation and excitement for what lies within each gift a gentle smile reflects inner happiness and gratitude for the thought and effort behind the presents memories and connections are cherished and the atmosphere amplifies the warmth and emotional fulfillment of being loved and valued,10,
"The woman sits in the car, flipping through documents with her left hand and talking on the phone with her right hand, looking pleased after hearing good news.",A broad smile reaching the eyes and relaxed posture indicate genuine joy and emotional ease during a positive and uplifting conversation,9,
"The woman wears a bikini on the beach, with a beach chair and umbrella nearby, feeling happy and enjoying the seaside.",A deep sense of joy and contentment fills the moment with a serene and peaceful mind fully present in the beauty of the surroundings,9,
"A loving couple stands in a wheat field, and the man lifts his partner into the air; they are very happy together.",A deep sense of happiness and contentment fills the moment with overwhelming peace and joy as the mind releases all worries and embraces the warmth of connection and love in a state of pure tranquility,10,
The woman answers the phone with her right hand and feels very happy because of the conversation.,A deep sense of joy and contentment radiates through the expression with a wide smile and closed eyes suggesting heartfelt happiness and emotional connection to a meaningful conversation,9,
"The man leads a packhorse carrying luggage and looks ahead with a joyful expression, excited for the journey ahead.",A deep sense of joy and contentment is present accompanied by a peaceful mind and a feeling of freedom and connection with nature,8,
"The girl holds a violin in her left hand and controls the bow with her right hand, happy that she has played a beautiful piece.",A deep sense of fulfillment and joy arises from the act of creating music a profound connection to the sound and rhythm brings emotional release and contentment the mind is fully present in the moment focused on the beauty of the notes and the harmony they produce memories of past experiences enhance the current feeling of happiness a serene atmosphere amplifies the sense of peace and tranquility allowing for complete immersion in the music and a lasting state of inner satisfaction,8,
"The woman happily decorates the Christmas tree, feeling very satisfied with the decorations and looking forward to her family seeing her work.",A deep sense of joy and contentment arises from the act of creating something meaningful and beautiful with care and intention leading to a profound emotional fulfillment and connection to the moment,9,
The girl loves her big yellow dog and happily pets it.,A deep sense of joy and contentment fills the moment as the individual is fully immersed in a peaceful connection with the animal finding comfort and happiness in the simple act of being present,9,
"The woman is on the phone with a smile on her face, showing interest in the conversation.",A sense of joy and contentment is evident through a genuine smile indicating pleasure and satisfaction from an engaging and meaningful interaction that brings warmth and comfort,10,
"The woman is opening her gift, feeling happy and full of anticipation for what is inside the gift box.",A deep sense of joy and contentment fills the moment accompanied by anticipation and excitement about a hidden surprise and gratitude for the thoughtful gesture resulting in overwhelming happiness and fulfillment,10,
